gains,for,item,to,payer,in,datetime,curr_gain
5000, ,rent, ,abhishek, ,22/01/2025 9:24PM,449000
5000, ,rent, ,abhishek, ,22/01/2025 9:24PM,5000
5000, ,rent, ,abhishek, ,22/01/2025 9:24PM,10000
5000, ,rent, ,abhishek, ,22/01/2025 9:24PM,15000
5000, ,rent, ,abhishek, ,22/01/2025 9:24PM,20000
5000, ,rent, ,abhishek, ,22/01/2025 9:24PM,25000
5000, ,rent, ,abhishek, ,22/01/2025 9:24PM,30000
50000, ,rent, ,abhishek, ,22/01/2025 9:24PM,35000
50000, ,rent, ,abhishek, ,22/01/2025 9:24PM,85000
50000, ,rent, ,abhishek, ,22/01/2025 9:24PM,135000
50000, ,rent, ,abhishek, ,22/01/2025 9:24PM,185000
50000, ,rent, ,abhishek, ,22/01/2025 9:24PM,235000
50000, ,rent, ,abhishek, ,22/01/2025 9:24PM,285000
50000, ,rent, ,abhishek, ,22/01/2025 9:24PM,335000
50000, ,rent, ,abhishek, ,22/01/2025 9:24PM,385000
50000, ,rent, ,abhishek, ,22/01/2025 9:24PM,435000
