spend,for,item,to,reciepent,in,datetime,curr_income
5000, ,asd, ,asd, ,20/01/2025 4:56PM,371200
5000, ,asd, ,asd, ,20/01/2025 4:56PM,366200
5000, ,asd, ,asd, ,20/01/2025 4:56PM,361200
5000, ,asd, ,asd, ,20/01/2025 4:56PM,356200
5000, ,asd, ,asd, ,20/01/2025 4:56PM,351200
5000, ,asd, ,asd, ,20/01/2025 4:56PM,346200
20000, ,Fees, ,OIST, ,24/01/2025 5:58PM,816200
20000, ,Fees, ,OIST, ,24/01/2025 5:58PM,796200
20000, ,Fees, ,OIST, ,24/01/2025 5:58PM,776200
20000, ,Fees, ,OIST, ,24/01/2025 5:58PM,756200
20000, ,Fees, ,OIST, ,24/01/2025 5:58PM,736200
20000, ,Fees, ,OIST, ,24/01/2025 5:58PM,716200
20000, ,Fees, ,OIST, ,24/01/2025 5:58PM,696200
20000, ,Fees, ,OIST, ,24/01/2025 5:58PM,676200
